,Ia,Ib,Ic,Va,Vb,Vc
Ia,1.0,-0.37424143496975526,-0.27645707586673207,0.03568246831572993,-0.2746118521535713,0.2460430076428868
Ib,-0.37424143496975526,1.0,-0.528290684338526,0.029117642573594702,0.032100576459990635,-0.06002291037402933
Ic,-0.27645707586673207,-0.528290684338526,1.0,-0.06913707167050774,-0.05696665451791215,0.12291916299354613
Va,0.03568246831572993,0.029117642573594702,-0.06913707167050774,1.0,-0.4802471930828859,-0.45022481306764434
Vb,-0.2746118521535713,0.032100576459990635,-0.05696665451791215,-0.4802471930828859,1.0,-0.5669863864106383
Vc,0.2460430076428868,-0.06002291037402933,0.12291916299354613,-0.45022481306764434,-0.5669863864106383,1.0
