,ABC,ABCG,ABG,AG,BC,Normal
ABC,227,0,0,0,0,0
ABCG,0,226,0,0,0,0
ABG,0,0,201,0,0,0
AG,0,0,0,473,0,0
BC,0,0,0,0,214,5
Normal,1,0,0,0,3,223
