,precision,recall,f1-score,support
ABC,0.9955555555555555,0.986784140969163,0.9911504424778761,227.0
ABCG,0.9955947136563876,1.0,0.9977924944812362,226.0
ABG,1.0,1.0,1.0,201.0
AG,1.0,0.9978858350951374,0.9989417989417989,473.0
BC,0.9908256880733946,0.9863013698630136,0.988558352402746,219.0
Normal,0.9739130434782609,0.986784140969163,0.9803063457330415,227.0
accuracy,0.9936427209154481,0.9936427209154481,0.9936427209154481,0.9936427209154481
macro avg,0.992648166793933,0.9929592478160795,0.9927915723394499,1573.0
weighted avg,0.9936837908169697,0.9936427209154481,0.9936526031483218,1573.0
