,precision,recall,f1-score,support
ABC,1.0,1.0,1.0,227.0
ABCG,1.0,1.0,1.0,226.0
ABG,1.0,1.0,1.0,201.0
AG,1.0,0.9978858350951374,0.9989417989417989,473.0
BC,0.9954337899543378,0.9954337899543378,0.9954337899543378,219.0
Normal,0.9912280701754386,0.9955947136563876,0.9934065934065934,227.0
accuracy,0.9980928162746344,0.9980928162746344,0.9980928162746344,0.9980928162746344
macro avg,0.997776976688296,0.9981523897843104,0.9979636970504551,1573.0
weighted avg,0.9980983928352348,0.9980928162746344,0.9980945757169533,1573.0
