,ABC,ABCG,ABG,AG,BC,Normal
ABC,218,7,0,0,1,1
ABCG,0,226,0,0,0,0
ABG,0,0,201,0,0,0
AG,0,0,0,472,0,1
BC,1,0,0,0,139,79
Normal,4,0,0,0,74,149
