,precision,recall,f1-score,support
ABC,0.9775784753363229,0.960352422907489,0.9688888888888889,227.0
ABCG,0.9699570815450643,1.0,0.9847494553376906,226.0
ABG,1.0,1.0,1.0,201.0
AG,1.0,0.9978858350951374,0.9989417989417989,473.0
BC,0.6495327102803738,0.634703196347032,0.6420323325635104,219.0
Normal,0.6478260869565218,0.6563876651982379,0.6520787746170679,227.0
accuracy,0.8931977113795295,0.8931977113795295,0.8931977113795295,0.8931977113795295
macro avg,0.874149059019714,0.8748881865913161,0.8744485417248261,1573.0
weighted avg,0.8928320404456849,0.8931977113795295,0.8929546015594723,1573.0
