,precision,recall,f1-score,support
ABC,0.7634854771784232,0.8105726872246696,0.7863247863247863,227.0
ABCG,0.8983050847457628,0.9380530973451328,0.9177489177489178,226.0
ABG,0.9900990099009901,0.9950248756218906,0.9925558312655087,201.0
AG,1.0,1.0,1.0,473.0
BC,0.28761061946902655,0.2968036529680365,0.29213483146067415,219.0
Normal,0.2717948717948718,0.23348017621145375,0.25118483412322273,227.0
accuracy,0.7546090273363001,0.7546090273363001,0.7546090273363001,0.7546090273363001
macro avg,0.7018825105148458,0.7123224148951972,0.7066582001538516,1573.0
weighted avg,0.745722959328224,0.7546090273363001,0.7497820657515628,1573.0
