Feature,Importance
I0_zero_seq,2249
I1_pos_seq,1281
Ic,1212
I_diff_bc,1143
Ib,911
Ia,908
V_diff_bc,699
Vb,587
I_imbalance,587
Z_phase_c,566
V1_pos_seq,537
P_phase_a,535
I_diff_ca,523
V_diff_ca,515
P_phase_c,467
V_imbalance,465
P_total,450
Va,435
V_diff_ab,422
P_phase_b,394
Z_phase_a,391
V0_zero_seq,368
I_diff_ab,358
Vc,324
Z_phase_b,279
I_total_magnitude,0
I_sum,0
V_sum,0
V_total_magnitude,0
