,ABC,ABCG,ABG,AG,BC,Normal
ABC,227,0,0,0,0,0
ABCG,0,226,0,0,0,0
ABG,0,0,201,0,0,0
AG,0,0,0,472,0,1
BC,0,0,0,0,217,2
Normal,0,0,0,0,1,226
